bb_period,bb_devfactor,rsi_period,rsi_oversold,rsi_overbought,use_midband,bb_touch_pct,final_value,total_return,sharpe_ratio,max_drawdown,total_trades,win_rate
20,2.5,14,35,75,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
20,2.0,10,35,65,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
15,2.0,14,35,65,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
25,2.5,10,35,70,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
20,2.5,10,35,70,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
20,1.5,10,35,65,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
25,1.5,10,35,65,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
15,2.0,14,30,65,True,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
15,2.5,14,25,70,True,0.01,100000.0,0.0,0.0,0.0,0,0.0
15,2.5,14,25,65,True,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,1.5,14,25,70,True,0.01,123504.57551826259,23.504575518262588,0.6168554026023473,4.064090565620165,1,100.0
15,1.5,14,25,65,True,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,1.5,14,30,75,True,0.01,123504.57551826259,23.504575518262588,0.6168554026023473,4.064090565620165,1,100.0
15,1.5,14,35,65,True,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,1.5,14,30,65,True,0.01,163790.01480750248,63.79001480750248,0.6738520413975525,21.435191513689272,1,100.0
15,2.0,14,25,75,True,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,1.5,14,25,75,True,0.01,149243.14509925773,49.24314509925773,0.6640282909868706,4.09082289303989,2,100.0
15,1.5,14,30,70,True,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,2.5,14,25,75,True,0.01,166443.35367723316,66.44335367723315,0.6751800311632942,6.732265995372769,2,100.0
15,2.5,14,30,75,True,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
