ticker,open,close,high,low,volume,date,time_milliseconds
TSLA,270.93,272.04,284.35,261.84,126706623,2025-03-04 05:00:00,1741064400000
TSLA,272.92,279.1,279.55,267.71,94042913,2025-03-05 05:00:00,1741150800000
TSLA,272.06,263.45,272.65,260.02,98451566,2025-03-06 05:00:00,1741237200000
TSLA,259.32,262.67,266.25,250.73,102369640,2025-03-07 05:00:00,1741323600000
TSLA,252.53,222.15,253.37,220.0,189076948,2025-03-10 04:00:00,1741579200000
TSLA,225.31,230.58,237.06,217.02,174896415,2025-03-11 04:00:00,1741665600000
TSLA,247.22,248.09,251.84,241.1,142215681,2025-03-12 04:00:00,1741752000000
TSLA,248.12,240.68,248.29,232.6,114813525,2025-03-13 04:00:00,1741838400000
TSLA,247.31,249.98,251.58,240.73,100242264,2025-03-14 04:00:00,1741924800000
TSLA,245.06,238.01,245.4,232.8,111900565,2025-03-17 04:00:00,1742184000000
TSLA,228.16,225.31,230.1,222.28,111477636,2025-03-18 04:00:00,1742270400000
TSLA,231.61,235.86,241.41,229.2,111993753,2025-03-19 04:00:00,1742356800000
TSLA,233.34,236.26,238.0,230.05,99028270,2025-03-20 04:00:00,1742443200000
TSLA,234.99,248.71,249.52,234.55,132728684,2025-03-21 04:00:00,1742529600000
TSLA,258.07,278.39,278.64,256.33,169079865,2025-03-24 04:00:00,1742788800000
TSLA,283.6,288.14,288.2,271.28,150361538,2025-03-25 04:00:00,1742875200000
TSLA,282.66,272.06,284.9,266.51,156254441,2025-03-26 04:00:00,1742961600000
TSLA,272.48,273.13,291.85,271.82,162572146,2025-03-27 04:00:00,1743048000000
TSLA,275.57,263.55,276.1,260.57,123809389,2025-03-28 04:00:00,1743134400000
TSLA,249.31,259.16,260.56,243.36,134008936,2025-03-31 04:00:00,1743393600000
TSLA,263.8,268.46,277.45,259.25,146486911,2025-04-01 04:00:00,1743480000000
TSLA,254.6,282.76,284.99,251.27,212787817,2025-04-02 04:00:00,1743566400000
TSLA,265.29,267.28,276.3,261.51,136174291,2025-04-03 04:00:00,1743652800000
TSLA,255.38,239.43,261.0,236.0,181229353,2025-04-04 04:00:00,1743739200000
TSLA,223.78,233.29,252.0,214.25,183453776,2025-04-07 04:00:00,1743998400000
TSLA,245.0,221.86,250.44,217.8,171603472,2025-04-08 04:00:00,1744084800000
TSLA,224.69,272.2,274.69,223.88,219433373,2025-04-09 04:00:00,1744171200000
